,0
qt_open_ended,6301.823118035319
qt_rating,-3261.265388876787
qt_single_selection,-2606.091577091074
prompt_length,1405.5987177351992
avg_word_length,-650.8246586930626
word_count,-290.58434631319096
survey_difficulty_score,254.5353950710178
open_ended_ratio,-188.52325424200038
has_analytical,-128.76140642454666
is_personal,-119.53819196736775
readability,111.68386199991704
starts_with_rate,106.50053165882774
has_temporal,86.24417200013765
has_question_mark,-85.52386479488302
avg_answer_choice_length,74.37642478161946
num_answer_choices,-67.90068578945306
starts_with_describe,62.313579024203534
is_complex_prompt,58.49924107754536
starts_with_how,-21.267654892822765
starts_with_why,-5.009804507372492
position_in_survey,3.3057401201085095
